,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,100,50,120,120,20,20,120,42,120,100,20,120,115,30,100,95,50,30,100,35,25,120,20,60,60,90,100,100,120,120,75,50,100,20,120,20,100,60,49,120,120,120,120,110,20,80,119,20,95,119,30,120,20,70,70,120,95,20,100,80
2,200,120,200,200,80,200,200,110,200,80,80,200,195,140,150,148,160,100,150,92,150,200,80,100,95,150,175,180,200,200,135,150,150,80,200,80,150,140,119,200,200,200,200,190,80,165,199,80,174,199,100,200,120,140,140,200,150,80,190,120
3,160,80,160,160,40,40,160,80,160,100,40,160,154,80,160,123,100,45,80,67,160,160,40,60,95,110,100,150,160,160,95,100,140,40,160,40,144,100,89,160,160,160,160,150,40,155,159,40,144,159,50,160,40,100,100,100,145,50,145,120
4,180,90,180,180,20,100,180,30,180,180,20,180,174,20,139,151,180,25,80,56,30,150,30,80,80,130,100,170,180,180,150,100,150,20,180,20,159,100,79,180,179,180,180,178,20,145,179,20,154,179,50,180,20,110,100,180,160,20,165,100
5,200,100,200,200,50,50,200,75,200,150,50,200,194,63,149,169,130,50,120,85,80,190,100,100,100,200,125,100,200,200,120,125,180,50,200,50,174,180,99,200,199,200,200,199,50,170,199,50,144,200,60,200,85,130,125,200,175,65,200,180
6,160,80,160,160,20,80,160,80,160,160,20,160,154,50,80,99,70,40,75,61,30,155,20,60,80,160,100,100,160,160,100,90,160,20,160,20,142,90,74,160,159,160,160,155,20,95,159,20,134,159,55,160,30,90,90,160,140,21,150,120
7,179,110,180,180,60,60,180,100,180,160,60,180,180,180,119,170,150,90,100,78,80,175,70,80,65,180,60,160,180,180,85,120,180,60,180,60,166,110,99,180,179,180,180,170,60,170,179,60,157,179,90,180,60,118,120,60,155,60,170,100
8,198,150,200,200,100,151,200,100,200,100,100,200,194,120,149,160,130,157,150,119,100,200,100,120,110,200,100,150,200,198,149,150,190,100,200,100,178,100,124,200,199,200,200,200,100,200,199,150,149,199,135,200,150,148,150,100,173,150,200,150
9,148,75,150,150,50,50,150,55,150,50,50,150,144,75,99,135,150,90,100,71,50,140,50,60,75,150,100,88,150,149,99,100,140,50,150,50,138,140,74,150,149,150,150,145,50,132,149,50,117,149,75,150,50,99,100,149,125,50,140,75
10,200,160,200,200,40,60,200,50,200,170,40,200,194,160,119,120,200,90,100,97,40,200,40,60,79,200,200,55,200,195,160,120,190,40,200,40,178,190,99,200,199,200,200,190,40,190,199,40,149,199,50,200,120,119,120,100,175,45,200,150
